104.17.183.118	10046	9956
104.154.198.228	10038	9835
159.178.108.111	9848	9848
187.237.14.200	9763	9747
159.178.237.53	9740	9681
70.187.95.95	9531	9510
52.84.76.175	9455	9450
165.215.209.15	9436	8982
103.26.37.253	9401	9324
159.178.107.44	9254	8698
88.231.33.95	8968	8968
73.224.42.241	8944	8910
159.178.102.100	8745	8733
216.52.195.182	8680	8584
54.230.161.109	8675	8673
128.227.112.222	8670	7904
23.202.88.31	8492	8462
104.92.17.82	8428	8390
96.7.182.150	8366	8364
149.169.208.76	8140	8030
157.55.39.140	8058	8058
104.16.89.188	7895	7867
69.252.101.144	7765	7763
66.249.64.14	7742	7701
192.210.199.106	7716	7374
156.154.65.196	7617	7597
112.198.103.2	7596	6652
159.178.137.117	7591	7581
34.206.148.175	7493	7485
174.70.89.126	7442	7291
63.251.240.12	7408	7380
91.198.117.247	7401	7394
68.64.22.136	7379	7262
159.178.112.71	7315	7315
8.27.160.227	7277	7272
172.217.8.80	7193	7187
120.239.64.18	7176	7122
73.224.76.160	7131	6946
159.178.115.102	7071	7063
159.178.129.112	7035	7011
98.18.16.218	6986	6944
159.178.129.91	6866	6783
71.6.146.185	6808	6808
159.178.100.162	6801	6392
98.18.150.191	6745	6714
95.101.36.67	6678	6666
159.178.108.48	6557	6501
54.192.205.183	6546	6537
159.178.100.33	6503	5996
209.112.113.33	6489	6487
198.245.89.70	6432	6296
171.161.207.200	6312	6136
159.178.32.133	6254	5890
159.178.119.40	6225	6164
149.111.148.27	6168	5421
54.192.205.60	6106	5543
159.178.100.82	6058	6058
178.33.214.223	5969	5946
207.46.13.156	5892	5892
66.231.139.112	5882	5862
159.178.100.84	5871	5867
159.178.109.180	5826	5744
66.87.114.206	5803	5722
198.102.61.236	5775	5752
204.74.115.1	5730	5681
69.172.201.238	5714	5690
128.227.236.254	5698	5102
99.166.162.58	5674	5530
188.184.36.52	5662	4904
199.204.59.137	5622	5472
35.190.151.98	5586	5524
104.92.16.146	5579	5571
23.15.61.170	5566	5396
128.227.220.36	5549	5525
167.68.20.174	5444	5423
40.76.218.33	5438	5386
212.227.17.4	5426	5356
216.200.96.194	5297	5168
107.77.218.214	5254	5254
184.50.26.236	5254	5254
24.236.111.9	5216	5216
59.45.175.56	5186	5172
96.7.49.194	5139	5139
216.58.219.67	5130	5122
209.73.179.8	5121	5108
128.227.111.65	5059	4878
159.178.108.184	5054	5038
192.229.163.25	5041	4179
189.230.4.234	5039	4676
208.80.124.2	5031	5001
104.92.12.53	5009	5000
159.178.96.156	4992	4992
208.80.125.4	4968	4966
128.227.71.18	4961	4926
104.17.8.41	4932	4932
170.146.96.193	4926	4926
54.67.57.25	4863	4848
107.77.220.66	4836	4836
204.154.111.106	4802	3441
69.241.99.178	4785	4769
