9	14
205	235
20	33
5	6
192	171
15	24
175	138
9	10
42	40
358	367
51	24
12	-13
200	183
103	97
13	0
109	125
129	130
123	171
20	62
2	-7
123	125
10	-21
106	83
90	95
16	8
51	20
18	46
87	92
190	183
8	18
12	-27
17	10
9	4
120	105
101	128
126	138
346	354
129	128
374	338
16	33
302	326
362	397
56	66
22	4
266	188
211	177
26	29
129	117
48	24
46	80
6	14
4	6
21	48
103	146
138	146
289	304
20	0
358	342
12	12
218	216
309	323
5	2
12	42
31	80
72	62
218	235
4	2
40	18
272	289
200	235
5	22
13	-1
25	10
6	16
22	-5
110	144
14	29
8	-9
4	2
81	107
228	304
7	44
2	6
144	146
68	112
3	-5
312	258
55	44
52	51
2	2
4	-25
2	-15
270	268
102	133
46	62
122	146
30	40
113	85
14	24
197	177
212	222
66	90
202	241
16	22
44	57
104	78
305	334
393	384
2	4
48	33
5	-11
13	-9
31	37
6	2
32	16
86	90
128	102
54	71
356	315
23	-15
2	27
95	95
38	35
13	0
39	33
20	22
21	-7
5	-7
11	-21
83	115
33	20
10	27
3	-1
64	80
212	244
4	6
11	-1
212	188
209	213
12	64
6	-11
392	406
156	146
7	37
14	-1
177	191
9	29
143	133
7	46
9	35
5	-13
19	18
32	62
14	-15
3	8
12	8
296	338
50	40
2	35
18	27
39	8
84	73
10	53
203	188
18	4
2	22
7	-19
57	55
453	402
462	439
39	48
2	37
11	6
45	22
421	454
40	53
4	-40
8	35
93	78
370	354
2	-5
5	-17
47	97
31	-17
238	200
12	35
70	44
15	51
20	27
4	27
5	22
19	16
5	-19
141	128
6	-5
4	12
126	125
16	46
18	-7
2	0
84	53
234	261
207	228
30	48
26	20
375	371
36	40
2	-1
10	-11
30	16
117	102
6	-15
8	-19
5	-29
96	100
181	152
177	146
23	37
48	66
7	35
155	191
14	31
10	-3
199	194
242	258
14	2
8	46
48	71
176	180
10	2
5	10
16	-13
110	125
20	-1
15	33
18	18
193	188
2	2
20	18
69	105
153	183
335	342
23	18
210	183
11	80
75	37
189	160
103	102
242	278
133	100
5	-15
2	-11
4	18
465	474
303	326
50	16
114	136
12	10
364	375
20	20
12	-31
131	125
7	27
32	29
313	315
76	18
288	278
4	46
9	12
182	183
8	24
69	97
9	-3
463	529
22	12
32	20
16	4
40	42
227	228
17	40
174	120
352	304
13	-27
2	-3
22	4
9	51
275	293
13	35
20	31
5	-11
244	228
7	-11
24	-1
4	4
89	83
6	6
50	53
10	-47
93	102
98	165
2	6
2	10
8	64
310	289
4	-32
7	33
15	27
2	-31
53	60
66	20
82	66
48	0
8	53
472	439
121	97
16	-23
36	31
23	6
107	112
69	95
26	24
4	-25
364	371
24	6
490	518
117	136
13	73
83	78
106	97
9	0
140	141
30	51
124	128
2	46
6	2
66	53
25	16
7	10
10	8
20	85
88	115
2	0
2	-3
202	203
3	6
4	2
52	44
11	2
2	-15
175	222
45	100
21	40
38	51
24	0
24	-13
2	-21
5	8
29	40
165	141
237	213
9	4
41	57
29	18
17	20
11	0
107	55
7	-5
70	83
8	-7
6	-1
10	10
112	100
228	222
8	16
15	24
50	78
2	-23
115	110
28	51
5	35
2	0
2	14
8	-11
7	20
127	125
6	-13
464	444
65	69
12	-11
41	42
14	-11
6	-31
16	29
4	2
285	319
461	501
46	33
20	-32
2	16
4	31
39	6
97	73
9	22
13	60
28	62
22	48
2	-11
270	265
131	138
37	20
9	24
11	-34
20	14
2	6
20	44
45	42
2	-3
11	12
22	40
180	157
4	42
57	42
144	136
151	141
39	73
240	216
32	40
8	48
2	-13
20	31
327	338
48	51
10	8
14	8
104	95
25	27
212	157
15	22
124	141
390	397
6	4
354	375
35	44
132	144
18	-19
62	107
8	48
4	-11
16	-17
2	-5
134	117
105	171
34	42
10	22
35	-3
67	97
32	16
4	4
4	12
20	22
195	231
2	-27
413	371
4	31
12	14
20	22
20	8
8	33
8	44
4	14
82	48
147	133
2	-29
24	20
145	152
101	115
12	20
4	40
13	6
31	66
8	-11
9	8
13	10
8	8
100	73
176	171
27	42
174	163
4	12
6	16
59	18
14	40
123	133
9	-1
17	12
96	95
11	0
21	20
12	37
22	18
488	454
55	90
3	-5
14	10
193	154
67	53
10	57
26	31
148	180
23	4
126	122
24	48
407	429
4	35
73	76
20	0
268	278
42	22
111	122
19	73
8	33
30	10
22	42
70	102
2	33
20	24
18	35
22	29
54	62
390	397
2	10
9	10
2	14
8	10
4	-11
18	-15
73	48
6	-3
20	10
2	16
6	-27
130	97
9	-15
2	22
19	44
12	29
337	363
13	10
78	112
14	35
37	53
2	12
4	2
36	44
82	97
10	4
56	-7
6	-31
17	31
13	27
15	16
13	-1
5	33
20	66
92	83
4	2
16	-11
169	174
36	33
14	18
4	-38
7	-3
55	27
14	14
3	-42
154	194
10	14
232	265
6	2
157	157
79	42
6	20
2	-15
2	-31
223	210
3	12
20	42
21	18
5	10
332	393
8	-17
14	-1
15	16
164	165
54	66
303	307
12	10
17	16
283	300
20	10
2	22
7	6
20	51
4	44
81	57
4	24
144	194
6	-44
4	16
4	31
115	88
22	8
30	35
21	60
197	203
3	-9
16	8
37	78
8	12
122	125
2	-27
5	-9
172	163
108	46
24	16
3	27
419	444
10	24
256	244
2	14
45	66
4	-25
2	0
4	-17
112	136
4	6
14	12
256	222
87	71
10	8
5	18
4	6
110	107
255	258
116	128
432	454
33	40
4	-3
2	0
20	12
45	66
22	-5
4	10
8	31
27	-1
10	76
177	154
15	20
34	4
376	363
6	2
20	22
8	-11
23	20
179	203
25	85
215	174
9	33
68	31
12	12
27	-17
12	29
4	-7
30	20
49	64
11	-7
4	-5
20	44
48	60
8	22
23	29
23	12
6	4
43	10
4	24
261	319
45	22
227	254
28	12
15	71
2	14
120	80
39	22
